,ids,date,senator,after_vote,text
0,1365451555076472836,2021-02-26 23:59:54,Joe Manchin,0,@f__of__x @angryprog @suchnerve Didn't Manchin and Kyrsten Sinema say they wouldn't support the bill if they did override?
1,1365451550261346305,2021-02-26 23:59:53,Joe Manchin,0,@JamaalBowmanNY Why are all the progressives so comfortable calling out Manchin but refuse to utter Biden or Harris?
2,1365451486881325056,2021-02-26 23:59:37,Joe Manchin,0,"@CAAttorney1 @JuddLegum You seem certain Manchin will hold up a must-pass Covid relief bill and instantly become a pariah to the entire country, not just WV. Can't we employ the filibuster? Will Manchin go so far to hold his anti-relief stance while also killing the filibuster? Doubt it. Call his bluff."
3,1365451462831083523,2021-02-26 23:59:32,Joe Manchin,0,@MiddleFWIW @BlueCheese911 @cenkuygur @BernieSanders Why would the bill fail in reconciliation? Do you think Joe Manchin wants to tell his constituents that he’s against raising their wages? He comes from one of the poorest states—it would be obtuse
4,1365451442295775233,2021-02-26 23:59:27,Joe Manchin,0,"@lorio808 @ACTBrigitte You could ask Steve manchineel daughter about epicenter prices:

https://t.co/8mLyXLQIKO"
5,1365451429591326720,2021-02-26 23:59:24,Joe Manchin,0,"Oh, now this is a word! 

For all of his yelling, I’d like to see Bernie hold his fellow white man (Manchin) accountable for this. He hasn’t been loud enough for me! https://t.co/JNIBPH7Wry"
6,1365451408925941761,2021-02-26 23:59:19,Joe Manchin,0,#DontKillItBernie let Sinema and Manchin explain this voters in Arizona and West Virginia...cut their salaries to $7.25. IT’S TIME TO START CUTTING CONGRESSIONAL SALARIES https://t.co/58LPsRGGZg
7,1365451366173270024,2021-02-26 23:59:09,Joe Manchin,0,@rattle_sssnake @eclecticbrotha Before the parliamentarian is overruled there needs to be some evidence that it's worth the trouble--what indications does Sanders have that Sinema and Manchin will vote for it? He needs to whip those votes.
8,1365451322116476935,2021-02-26 23:58:58,Joe Manchin,0,@QListr @mouseofsauron @RepJayapal You know what also happened after that? A moderate republican left the GOP and gave the Democrats a majority. Nothing is stopping Joe Manchin from doing the same.
9,1365451193586049024,2021-02-26 23:58:28,Joe Manchin,0,@anarchistscum0 The 15 dollar minimum wage is mainly manchin's fault but yeah bombing syria was terrible
10,1365451187315564546,2021-02-26 23:58:26,Joe Manchin,0,"@dontcuckmebro @InnerLoud @JonnyEp @hasanthehun I’d rather the Ds be bold and move way, way to the left. Manchin and Sinema seem to want their jobs more than they want bold action, and that’s a problem with a 50/50 Senate and almost the same in the House."
11,1365451161675923456,2021-02-26 23:58:20,Joe Manchin,0,"?To all the #DontKillItBernie posters, you DO realize that we have extremely narrow majorities in the House and Senate, and if the $15.00 minimum wage is left IN the COVID relief bill then Manchin and Sinema will vote no, effectively KILLING it?"
12,1365451148145131527,2021-02-26 23:58:17,Joe Manchin,0,"@painter_nancy @MarcACaputo If I understand correctly, when the VP overrides the parliamentarian, they can only get something into a bill. The VP can’t actually pass the bill without at least 50 Senate votes, which in this case, includes Manchin &amp; Sinema."
13,1365451123138719744,2021-02-26 23:58:11,Joe Manchin,0,"@painter_nancy @MarcACaputo If you’re looking for people to blame it’s Manchin/Sinema, Harris can’t do anything without their support"
14,1365451116847247361,2021-02-26 23:58:09,Joe Manchin,0,@KissHardy @kijster_1217 @Hootwheelz @Dpatrick0109 @ChadPergram Which is frustrating because they're making Joe Manchin the new Mitch McConnell boogeyman. Shit's a farce
15,1365451115559612421,2021-02-26 23:58:09,Joe Manchin,0,@suchnerve Didn't Manchin and Kyrsten Sinema say they wouldn't support the bill if they overrode the parliamentarian?
16,1365451100334288902,2021-02-26 23:58:05,Joe Manchin,0,@Sen_JoeManchin You refused to comment yesterday on this Newsweek article. You’re a civil servant &amp; you have a duty to explain this to your WV constituents. Is this personal? Are you a Senator in the pocket of Big Pharma? Clarification? 🤷🏻‍♀️ https://t.co/WlFoc3LXKo
17,1365451085645807623,2021-02-26 23:58:02,Joe Manchin,0,"It's the #FightFor15 
Not ask Joe Manchin for permission for 15 
#DontKillItBernie"
18,1365450967454343170,2021-02-26 23:57:34,Joe Manchin,0,"@brat2381 @LizOBZRI @Sen_JoeManchin Exactly, time to make the “floaters” like Manchin irrelevant. (Either you’re with us or against us. We don’t need another Joe Lieberman.)"
19,1365450926199353346,2021-02-26 23:57:24,Joe Manchin,0,"@cenkuygur @BernieSanders Manchin and Sinema aren’t on board anyway, so this needs to be addressed on a separate bill where it won’t jeopardize people receiving the money they desperately needed to get months ago already, stop making people panic and report actual facts. There are still opportunities!"
20,1365450896432332803,2021-02-26 23:57:17,Joe Manchin,0,@Jpdawe7 @justsaywhy15 @JRubinBlogger @HH201707 @RBReich so we should primary manchin
21,1365450894288900096,2021-02-26 23:57:16,Joe Manchin,0,"@Lawrence I ordinarily agree with you Lawrence. But on this one Schumer-Biden-Harris need to be bold. Make Manchin and Sinema vote against the relief bill. If they really mean they would do that, force them to do that. And if they’re scared to do so electorally, well that’s the point."
22,1365450850299236355,2021-02-26 23:57:06,Joe Manchin,0,@SenSanders If @joeBiden was really for the $15 he would fight for it and not tell his Vice President not overrule it....this shows that he has no backbone and it almost seem that joe manchin is the president than the actual president @SenSanders #crazytime
23,1365450830762098694,2021-02-26 23:57:01,Joe Manchin,0,@RBReich Take Manchin and Sinema out to the woodshed.
24,1365450828379742209,2021-02-26 23:57:00,Joe Manchin,0,@Sooriclover @TBiggsTequila I am so tired of hearing the we can’t do better than Manchin. Manchin is a Dixiecrat moderate Republican who acts like it 95% of the time. If we can’t trust ppl in our own party to act like Democrats then they need to stop putting them on pedestals when...
25,1365450823430508544,2021-02-26 23:56:59,Joe Manchin,0,@emmeyekayeee @JO_clever_KE @PokerPolitics @Wilson__Valdez b) yes we should just nuke the stupid fucking filibuster but if we can’t do it outright bc Manchin and Sinema and being useless we should de facto kill it by replacing the parliamentarian if we have to
26,1365450815973056515,2021-02-26 23:56:58,Joe Manchin,0,"@johniadarola Somebody needs to explain to Manchin and Sinema that the filibuster is robbing them of power.  Now, their votes don't matter unless 10 Republicans come over.  With the filibuster gone, their votes are the most powerful and they could get whatever they want."
27,1365450755143008264,2021-02-26 23:56:43,Joe Manchin,0,@NerdAthens The only reason the parliamentarian is involved at all is bc 1) the senate is tied and 2) Manchin/Sinema asked for her ruling. The problem is our majority isn’t big enough. Manchin would happily vote no...
28,1365450752043327491,2021-02-26 23:56:42,Joe Manchin,0,"has 48 votes, who are all democrats, but it's all the fault of the parlimentarian, Joe Manchin, and Kamala Harris that it won't pass. Ok, whatever works for you."
29,1365450738445426688,2021-02-26 23:56:39,Joe Manchin,0,@robert_patten2 @sunrisemvmt @IlhanMN @JoeBiden And Manchin is correct
30,1365450721345306625,2021-02-26 23:56:35,Joe Manchin,0,If Marie Kondo had married Joe Manchin she never would've written that book.
31,1365450719621386240,2021-02-26 23:56:35,Joe Manchin,0,"@katia04 @Lawrence Well, we can't nuke the filibuster with this 50/50 split in the Senate with Manchin. I agree that this needs to be done NOW but can't see it happening. Manchin is not reliable."
32,1365450717822132228,2021-02-26 23:56:34,Joe Manchin,0,"@PramilaJayapal But of course it is not that is simple, ram it down their throat you'll lose manchin and sinema and we won't get anything at all! Choose your battles wisely"
33,1365450706128408577,2021-02-26 23:56:31,Joe Manchin,0,"@jonnyboyca @suchnerve @ReadYouForFree @angryprog ""MacDonough’s ruling offered cover to two Democratic senators who said they might not support the bill if it included the wage hike: Joe Manchin of West Virginia and Kyrsten Sinema of Arizona."" - Didn't Machin and Sinema also say they wouldn't support the bill if they overrode?"
34,1365450689510395908,2021-02-26 23:56:27,Joe Manchin,0,@Phoenix_Ranger @hannahlea @WhiteHouse @JoeManchinWV hehe. it is no longer manchin's fault. it is kamala fucking harris's fault
35,1365450663241654273,2021-02-26 23:56:21,Joe Manchin,0,"@searinglight2 @TheSlateLeft @secretbestfrend @themattdimitri If the objection is unsuccesful, then they would have to vote on the bill with the $15 wage. We all know Manchin and Sinema would vote against it"
36,1365450633864761347,2021-02-26 23:56:14,Joe Manchin,0,@CKProgressive @JoeBiden So keep the 15&amp;kill the whole bill bec we know Manchin wont vote for it. Let him do the stand alone bill with the tax penalties&amp;credits for small business.  Why kill the entire bill when you can live to fight another day and if folks give it back to Rep we get what we deserve. https://t.co/HFxkOGFSPM
37,1365450503526645761,2021-02-26 23:55:43,Joe Manchin,0,"@varadmehta @thefactualprep LOL, dont they ever learn, sinema and manchin are not going to carte what NY voters think when there loyalty is to AZ and WV voters."
38,1365450441576878082,2021-02-26 23:55:28,Joe Manchin,0,"It's Sinema and Manchin standing in the way of overriding the parliamentarian, but sure, go after the woman of color, dirtbag left."
39,1365450441128050688,2021-02-26 23:55:28,Joe Manchin,0,"@tomwatson I would rather enjoy seeing Manchin and Sinema feeling the pressure of standing in the way of the whole rescue package, given its enormous popularity."
40,1365450433561432064,2021-02-26 23:55:26,Joe Manchin,0,@Bob2A1959NYC yep. i wish a reporter would have asked manchin something about his daughter's company and her role in price gouging in a possible pay-back reason for his hypocritical NO vote. shame of him
41,1365450429174276099,2021-02-26 23:55:25,Joe Manchin,0,@Ojeda4America When are you running against Manchin?
42,1365450412225142785,2021-02-26 23:55:21,Joe Manchin,0,"@AMKx001 Right now Kamala is holding it up. If Joe Manchin and crew have the balls to vote against the entire package and the widely popular minimum wage increase then let them, I doubt they will."
43,1365450397712715776,2021-02-26 23:55:18,Joe Manchin,0,"I scored 373 points, 9 out 0f 12 right. wha wha wha. https://t.co/ps6LBHYFSR https://t.co/HMO0YXIRy9"
44,1365450351109959686,2021-02-26 23:55:07,Joe Manchin,0,@TerminatorLx @JasonOverstreet @Sen_JoeManchin @SenatorSinema Manchin is in that seat until he quits or dies.  WV is a red state through and through unfortunately.
45,1365450290342682628,2021-02-26 23:54:52,Joe Manchin,0,"@dashingdrewster @StandUpAmerica @NotPissedNow Neither Joe Manchin nor Kristen Sinema are in leadership positions, so...no."
46,1365450213981364237,2021-02-26 23:54:34,Joe Manchin,0,@Inghabo @dwmontroy @Derrick_James @Public_Citizen Yep—but also Manchin and Sinema
47,1365450207803006977,2021-02-26 23:54:33,Joe Manchin,0,@Molly1Jo @fran_chambers @Alex_Roarty @POTUS .…with Manchin needing to vote yes on the relief act Sinema would follow suit. They either do it now or it doesn’t get done. Until the Democrats gain a larger advantage in the Senate with a fighter for the underprivileged as leader and a President Harris.
48,1365450194129723405,2021-02-26 23:54:29,Joe Manchin,0,@SenSanders Y'all told Joe Manchin?
49,1365450193215369217,2021-02-26 23:54:29,Joe Manchin,0,@ryangrim @ssurovell The Joe Manchin of Virginia?
50,1365450179999002625,2021-02-26 23:54:26,Joe Manchin,0,"@SenSchumer  @JoeManchinWV needs to be stripped of his committee he gets in line and passes President Biden’s agenda-COVID relief, 15.00 per hour min wage, pass his nominees, equality act. What was the purpose of us working our asses off if Manchin &amp; Senema block the agenda?"
51,1365450167625928707,2021-02-26 23:54:23,Joe Manchin,0,"Bernie: if they say they’ll pass it later, they’re LYING

NONONONONO. don’t fall for it. 

Let Sinema and Manchin kill it if they dare."
52,1365450134407041033,2021-02-26 23:54:15,Joe Manchin,0,"@lou_louwhen @JRubinBlogger @RBReich True, Kamala can ignore it. But her decision would be subject to appeal — and the appeal is decided by majority vote which democrats don't have thanks to Manchin."
53,1365450117512224769,2021-02-26 23:54:11,Joe Manchin,0,"@stephen46785 @blackmamba_md @WalkerBragman It's unlikely that he runs again. Rumor is that he had to be cajoled into running in 2018 and very much wants to retire. Sinema's bluff could be called because she wants to stick around. It's not inconceivable that Manchin hand could be forced, but it's less likely."
54,1365450096859435012,2021-02-26 23:54:06,Joe Manchin,0,"@BMeiselas It seems to me that Manchin and Sinema have decided that the democrats will not be getting anything done again. They won't vote for min wage increase, they won't end the filibuster. I guess is 4 more years of gridlock. Good way to make people not bother to vote next time."
55,1365450094577930250,2021-02-26 23:54:06,Joe Manchin,0,"@relentlessnatt But I’m pretty sure Joe manchin would vote against it so it’s not gonna pass, so what’s the point?"
56,1365450049715593219,2021-02-26 23:53:55,Joe Manchin,0,THE ONLY WAY THE FILIBUSTER  WILL BE  KILLED    IS IF  MORE  DEMOCRATS ARE  ELECTED TO THE SENATE  IN 2022 BECAUSE  OF  MANCHIN  AND THE ONE FROM AZ   DINO  NO OTHER  WAY  WILL IT HAPPEN  I HOPE ALL KNOW THIS BY NOW https://t.co/dIUUNtrsUd
57,1365450043835232266,2021-02-26 23:53:53,Joe Manchin,0,Joe Manchin and Kyrsten Sinema are really going to be running scared from Pramila Jayapal and AOC. H/t @thefactualprep. https://t.co/v9a41e7Y36
58,1365450025946480641,2021-02-26 23:53:49,Joe Manchin,0,"@CNNPolitics The Chamber of Commerce is dead set against a $15 Minimum Wage, that´s why Biden, Manchin etc. are against it and the´ll do everything to hide behind technicalities / the parliamentarian etc. 2 make it not happen..."
59,1365449953678483456,2021-02-26 23:53:32,Joe Manchin,0,'There is no appeasing Manchin; the best approach is to accommodate him.' https://t.co/RXmqB84kp0
60,1365449900754755588,2021-02-26 23:53:19,Joe Manchin,0,@cenkuygur @BernieSanders It won't pass. What don't you get?  Manchin and Sinema won't vote for it. Why are you so obtuse?
61,1365449879896621061,2021-02-26 23:53:14,Joe Manchin,0,"@angryprog @suchnerve I thought it was the Senate parliamentarian, backed by Manchin and what's-her-name."
62,1365449819658084360,2021-02-26 23:53:00,Joe Manchin,0,"@wishiwas20 I also feel the same about Manchin, except he's been around for a while. I certainly hope someone primaries him, and wins. He's an epic failure as a Democrat. Q needs to be where his D is."
63,1365449755292278785,2021-02-26 23:52:45,Joe Manchin,0,"@SenMarkey Ed, you must run into Manchin every week.  
Why are you telling US?"
64,1365449715509305345,2021-02-26 23:52:35,Joe Manchin,0,@legallyfm @krystalball Some people like to pick for the sake of it. ALL of the Dems (and those who caucus with them) save Joe Manchin have been fighting for the 15.
65,1365449703542976514,2021-02-26 23:52:32,Joe Manchin,0,"@NotTheOne727 @TBiggsTequila the problem is we all knew manchin &amp; sinema would be a problem on some things with a 50-50 split. We need to work around them and get what we can or convince them. Plus, in WV, we can't do better than Manchin. I don't know about in AZ. But in WV, it's Manchin or a trump type."
66,1365449685977227268,2021-02-26 23:52:28,Joe Manchin,0,@R0zzyB0wden @JamaalBowmanNY It’s against GOP philosophy. Which Manchin isn’t that far off from. Need D unanimity with a 50/50 split. It isn’t there.
67,1365449685943607304,2021-02-26 23:52:28,Joe Manchin,0,"@BruceRogan2 @davidsirota Cant, Manchin votes with them 50+% of the big votes, if they did that he’d probably vote against more of their stuff or else in 2024 a radical gop member would win his seat"
68,1365449678016364547,2021-02-26 23:52:26,Joe Manchin,0,"@TheRockettMann That is bad politics I agree.

But if they did overrule then they would lose the bluedogs. Personally I would take that route and put Sinema&amp;Manchin under heat. 

But the end result would be the same the way I see it"
69,1365449624383799300,2021-02-26 23:52:13,Joe Manchin,0,"@AnaKasparian @bamableu Not quite. The VP needs 50 votes to overrule the Parliamentarian. She does not have the 50 votes. 

Any attempt, w/o complete support, is political theatre that will lead to an embarrassing defeat.

This is on Manchin and Sinema - not Biden or Harris."
70,1365449613377900546,2021-02-26 23:52:11,Joe Manchin,0,@DanKEberhart This man can think for himself and not be bullied!  Kudos to you Joe Manchin.  More people like Joe are needed in Washington.
71,1365449594398720000,2021-02-26 23:52:06,Joe Manchin,0,Manchin should hang his head in shame...he is hurting the many low income earners in West Virginia...but he doesn't give a fk https://t.co/gmStVLYDAU
72,1365449573121077253,2021-02-26 23:52:01,Joe Manchin,0,"@ysimpsonpower @kaaawababy @RBReich We didn't elect a majority. We voted for a tie. Vice-president Harris is the tie breaker but she can't be available to vote in every session.
Also, Senator Joe Manchin is not dependable. He does not vote w/ Democrats on every issue."
73,1365449543886790659,2021-02-26 23:51:54,Joe Manchin,0,"@clare_stagg @Shelbypnw7 Manchin is a Democrat in a R run state. Sinema, I’m not sure. It’s like Manchin won’t support Tanden because she went after his daughter for a 400% increase in Epi-pen. He won’t even confirm a Biden nominee? It’s a maddening time right now. Do we only get a year to fix this mess?"
74,1365449520323174400,2021-02-26 23:51:49,Joe Manchin,0,@Molly1Jo @fran_chambers @Alex_Roarty @POTUS If it was put in front of them they would vote for it. Don’t know how much of WV you know about but a vast majority of them are poor &amp; hurting. They need the relief act an Manchin would vote for that with or without the wage increase. Stand alone bill he would not.…
75,1365449492351176705,2021-02-26 23:51:42,Joe Manchin,0,one possible explanation is that manchin and sinema just like to be pains in the ass
76,1365449456519434241,2021-02-26 23:51:33,Joe Manchin,0,@johniadarola So everyone always tp’s houses. Can we just tp Manchin?
77,1365449423174602760,2021-02-26 23:51:25,Joe Manchin,0,@TheDemocrats Why don’t you go after Manchin and Senema. They are just as guilty. Force them to get in line or move out of the way!
78,1365449371580514308,2021-02-26 23:51:13,Joe Manchin,0,"Sinema bothers me a lot more than Manchin because I kinda believe the idea that what Manchin does might help him in West Virginia, but with Sinema, she's a senator in a state zooming left and we have another Democratic senator to compare her to who doesn't do this stuff"
79,1365449287056977923,2021-02-26 23:50:53,Joe Manchin,0,"Do Manchin &amp; Sinema voters realllly care or know what Filibuster does? Is that their campaign pledge? People know if they get #CovidRelief, healthcare, infrastructure. ""Filibuster"" doesn't go on yr 'kitchen table'-it  BLOCKS things! Senate already out-of-wack by % of pop #TheBeat https://t.co/JaFLHgStFx"
80,1365449271999410177,2021-02-26 23:50:49,Joe Manchin,0,@zei_squirrel I had thought initially that they might have done a deal with Manchin and Sinema to get them on board in exchange for pork and a procedural protest vote on overruling the parliamentarian. Weird they didn’t since Manchin’s minwage proposal is Bernie’s first 2 year schedule.
81,1365449200175968260,2021-02-26 23:50:32,Joe Manchin,0,@JoyAnnReid Have him explain if Joe Manchin can defend the idea of NOT approving a $15.00 wage!  Can anyone ?
82,1365449164130148358,2021-02-26 23:50:24,Joe Manchin,0,@SenMarkey I want this.  But realistically this is ONE small point that will have to stay out of this package.  Manchin and two others dont like it - so we will work on it at a later date.  There are TONS OF GOOD in this 1.9 TRILL bill.  Which will pass.  Stoked!
83,1365449157041872900,2021-02-26 23:50:22,Joe Manchin,0,"@Sooriclover @Catsinspace1991 @UnitedAsOne2020 @ericisaac You're naive if you think Manchin and Sinema will commit political suicide by killing the entire stimulus bill over a universally-popular minimum wage increase.

Wtf is wrong with you people?"
84,1365449062565220363,2021-02-26 23:49:59,Joe Manchin,0,"@cenkuygur @BernieSanders The COVID bill won't get fuckball Manchin's vote with $15 min wage. Act like you know what's going on and quit being so hysterical, Cenk."
85,1365449052066824192,2021-02-26 23:49:57,Joe Manchin,0,"@bamableu @concerned12020 Basically: we need a bigger majority in 2022. We have opportunities in Wisconsin, PA, &amp; FL, etc. We need to hold all &amp; win 2 more, then Manchin &amp; Sinema are irrelevant. We all knew they could be problem on some bills. This isn't a surprise. The Dems are trying. #VoteBlue2022"
86,1365449046870134784,2021-02-26 23:49:56,Joe Manchin,0,Neera Tanden did nothing wrong on her Twitter account. She used free speech as did that fucking orange shitstain. She threatened no one. That’s can be said for the former fucker. Joe Manchin is a vindictive prick who raised a daughter who harmed people. There goes my nomination
87,1365448948874244097,2021-02-26 23:49:32,Joe Manchin,0,@james_roe @LoganMalak @icy_enceladus @actorDanRoach @sunrisemvmt @IlhanMN @JoeBiden Manchin is a good man
88,1365448832302071808,2021-02-26 23:49:05,Joe Manchin,0,"@cooldudettv @thinkspin @SocialistBoomer Uh, dems aren’t conservative anymore besides Manchin and Sinema. Dems support an LGBT+ equality bill. Sounds pretty left wing if you ask me."
89,1365448826232930307,2021-02-26 23:49:03,Joe Manchin,0,"@AnaKasparian The VP needs 50 votes to overrule the Parliamentarian. She does not have the 50 votes. Any attempt w/o support is political theatre that will lead to embarrassing defeat.

This is squarely on Manchin and Sinema - not Biden or Harris."
90,1365448810349101058,2021-02-26 23:48:59,Joe Manchin,0,@Ali_Husain333 @Braylesong @Wilson__Valdez Does joe manchin support a 15 dollar minimum wage?
91,1365448792431071240,2021-02-26 23:48:55,Joe Manchin,0,"@BernieSanders Can always come up with separate bill and make everybody vote on record for it, stop blaming the parliamentarian for something you don’t even got the 50 votes to pass right now, blame Manchin and Sinema, they are the ones actually saying they wouldn’t support $15/hr geez"
92,1365448694498267138,2021-02-26 23:48:32,Joe Manchin,0,Why isn’t anyone talking about Neera’s tweets about Manchin’s daughter’s epipen windfall?
93,1365448689058263041,2021-02-26 23:48:30,Joe Manchin,0,Joe Manchin has the most beautiful family! Just look at this picture of the king with his daughter! #FamilyPhoto #FatherDaughterTime https://t.co/tMxEuWYCxG
94,1365448663565271042,2021-02-26 23:48:24,Joe Manchin,0,"@DumpsEuphoric @PCJADC @SamSeder Also, do you live in West Virginia? Because Manchin doesn’t give a shit what you think unless you’re in WV."
95,1365448628865703938,2021-02-26 23:48:16,Joe Manchin,0,@flargh But manchin don’t confirm someone for there tone you hippocrite
96,1365448622096084992,2021-02-26 23:48:14,Joe Manchin,0,"@BrielleClaremo1 @WormLagger @davidsirota Yes, and not to mention that if just 2 GOP senators crossed the aisle we wouldn't need Sinema and Manchin. Ppl are angry at the 48 Dems who are on their side and not angry at the 50 GOP who aren't and it's really pretty stupid. Stop biting the hand that's trying to feed you!"
97,1365448537035730944,2021-02-26 23:47:54,Joe Manchin,0,@TJNugent520 @kristyshl @Saline_tRick @RegVickers @BernadetteNTF @BlueSwede2000 @GreatTammie @doug_in_nc @BandieraNancy @Chieki @zazzybritches @MairScott3 @sugar1420 @HondoResists @MFrance923 @BonJS0370 @RobertVosFrere @keriRN @theresagiudice @ldog562 @vaato5455 @poppij @bobbiejaneV @yolalindayola @ThomONeil1 @62WalterP @GDThor1 @KeepsAtIt @Ezim79 @OklahomaPatrio1 @julyriver @RonniLaurie @TilghmanChris @Tonia8675309 @CirclesSpinning @politiolyc @212_artist @Cha51brolll19 @BlueWave_resist @ShashaBrown12 @oldmanliver @MykeyCantona7 @CunningSq16 @McGeezer67 @MilmadRn @alenesmiles @bettypge69 @HollyHuntley3 @MarciaBunney Manchin is a DINO
