,ids,date,text
0,1365451555076472836,2021-02-26 23:59:54,@f__of__x @angryprog @suchnerve Didn't Manchin and Kyrsten Sinema say they wouldn't support the bill if they did override?
1,1365451408925941761,2021-02-26 23:59:19,#DontKillItBernie let Sinema and Manchin explain this voters in Arizona and West Virginia...cut their salaries to $7.25. IT’S TIME TO START CUTTING CONGRESSIONAL SALARIES https://t.co/58LPsRGGZg
2,1365451366173270024,2021-02-26 23:59:09,@rattle_sssnake @eclecticbrotha Before the parliamentarian is overruled there needs to be some evidence that it's worth the trouble--what indications does Sanders have that Sinema and Manchin will vote for it? He needs to whip those votes.
3,1365451329376841730,2021-02-26 23:59:00,"@ercument_kenar @htahsinusta Gop meydan beton yığını oldu. Kentsel dönüşümle alakam yok,burda yorumları okuyorum kiraların geç ya da yatırılmadığını.Kültür merkezinde ne güzel sinema,mağaza,yemek yerleri vardı.Gitti.Otopark başlı başına sorun. Kendilerini kaf dağında görüp diğer bldyeleri,ibb yi yermelerine+"
4,1365451220547080192,2021-02-26 23:58:34,"@JakeReif I totally shared that belief until yesterday. Sinema is my senator, and there are very talented, active groups working 'round the clock to lobby her.

I realized that she's been coasting w/o having to own her obstructionism. The Dems need to check her on the national stage."
5,1365451187315564546,2021-02-26 23:58:26,"@dontcuckmebro @InnerLoud @JonnyEp @hasanthehun I’d rather the Ds be bold and move way, way to the left. Manchin and Sinema seem to want their jobs more than they want bold action, and that’s a problem with a 50/50 Senate and almost the same in the House."
6,1365451167669624832,2021-02-26 23:58:21,@ToddTheOdd @SenhorRaposa Arizona isn't West Virginia and Sinema is putting herself at real risk of a primary.
7,1365451161675923456,2021-02-26 23:58:20,"?To all the #DontKillItBernie posters, you DO realize that we have extremely narrow majorities in the House and Senate, and if the $15.00 minimum wage is left IN the COVID relief bill then Manchin and Sinema will vote no, effectively KILLING it?"
8,1365451148145131527,2021-02-26 23:58:17,"@painter_nancy @MarcACaputo If I understand correctly, when the VP overrides the parliamentarian, they can only get something into a bill. The VP can’t actually pass the bill without at least 50 Senate votes, which in this case, includes Manchin &amp; Sinema."
9,1365451123138719744,2021-02-26 23:58:11,"@painter_nancy @MarcACaputo If you’re looking for people to blame it’s Manchin/Sinema, Harris can’t do anything without their support"
10,1365451115559612421,2021-02-26 23:58:09,@suchnerve Didn't Manchin and Kyrsten Sinema say they wouldn't support the bill if they overrode the parliamentarian?
11,1365451096722923520,2021-02-26 23:58:04,"Çok sevdiğim, Hollanda'nın nevrotik ama underrated oyuncularından Rutger Hauer'ın bu filmde başrol olması benim için bambaşka bir sinema zevkiydi. https://t.co/8tgbA4PTI3"
12,1365450926199353346,2021-02-26 23:57:24,"@cenkuygur @BernieSanders Manchin and Sinema aren’t on board anyway, so this needs to be addressed on a separate bill where it won’t jeopardize people receiving the money they desperately needed to get months ago already, stop making people panic and report actual facts. There are still opportunities!"
13,1365450899099852802,2021-02-26 23:57:17,=Jorge Masvidal=Kamaru Usman=Alexander Volkanovski=Max Holloway=José Aldo=Rose Namajunas=Jéssica Andrade=Paige ...devamı sitede. #gundem #film #sinema #sinemalar https://t.co/X62Ub0CSZo #film
14,1365450894288900096,2021-02-26 23:57:16,"@Lawrence I ordinarily agree with you Lawrence. But on this one Schumer-Biden-Harris need to be bold. Make Manchin and Sinema vote against the relief bill. If they really mean they would do that, force them to do that. And if they’re scared to do so electorally, well that’s the point."
15,1365450830762098694,2021-02-26 23:57:01,@RBReich Take Manchin and Sinema out to the woodshed.
16,1365450825397506048,2021-02-26 23:57:00,George Takei calls out bisexual senator Kyrsten Sinema over 'baffling' support for Equality Act roadblock  https://t.co/GXgrS8fq2I
17,1365450823430508544,2021-02-26 23:56:59,@emmeyekayeee @JO_clever_KE @PokerPolitics @Wilson__Valdez b) yes we should just nuke the stupid fucking filibuster but if we can’t do it outright bc Manchin and Sinema and being useless we should de facto kill it by replacing the parliamentarian if we have to
18,1365450815973056515,2021-02-26 23:56:58,"@johniadarola Somebody needs to explain to Manchin and Sinema that the filibuster is robbing them of power.  Now, their votes don't matter unless 10 Republicans come over.  With the filibuster gone, their votes are the most powerful and they could get whatever they want."
19,1365450755143008264,2021-02-26 23:56:43,@NerdAthens The only reason the parliamentarian is involved at all is bc 1) the senate is tied and 2) Manchin/Sinema asked for her ruling. The problem is our majority isn’t big enough. Manchin would happily vote no...
20,1365450717822132228,2021-02-26 23:56:34,"@PramilaJayapal But of course it is not that is simple, ram it down their throat you'll lose manchin and sinema and we won't get anything at all! Choose your battles wisely"
21,1365450706128408577,2021-02-26 23:56:31,"@jonnyboyca @suchnerve @ReadYouForFree @angryprog ""MacDonough’s ruling offered cover to two Democratic senators who said they might not support the bill if it included the wage hike: Joe Manchin of West Virginia and Kyrsten Sinema of Arizona."" - Didn't Machin and Sinema also say they wouldn't support the bill if they overrode?"
22,1365450663241654273,2021-02-26 23:56:21,"@searinglight2 @TheSlateLeft @secretbestfrend @themattdimitri If the objection is unsuccesful, then they would have to vote on the bill with the $15 wage. We all know Manchin and Sinema would vote against it"
23,1365450503526645761,2021-02-26 23:55:43,"@varadmehta @thefactualprep LOL, dont they ever learn, sinema and manchin are not going to carte what NY voters think when there loyalty is to AZ and WV voters."
24,1365450441576878082,2021-02-26 23:55:28,"It's Sinema and Manchin standing in the way of overriding the parliamentarian, but sure, go after the woman of color, dirtbag left."
25,1365450441128050688,2021-02-26 23:55:28,"@tomwatson I would rather enjoy seeing Manchin and Sinema feeling the pressure of standing in the way of the whole rescue package, given its enormous popularity."
26,1365450415547052034,2021-02-26 23:55:22,@GrooveSDC So that would be Bernie killing it or Machin and Sinema? Weak ass chump.
27,1365450397712715776,2021-02-26 23:55:18,"I scored 373 points, 9 out 0f 12 right. wha wha wha. https://t.co/ps6LBHYFSR https://t.co/HMO0YXIRy9"
28,1365450290342682628,2021-02-26 23:54:52,"@dashingdrewster @StandUpAmerica @NotPissedNow Neither Joe Manchin nor Kristen Sinema are in leadership positions, so...no."
29,1365450227487023106,2021-02-26 23:54:37,@JamesGarfieldND @snazzeo Yea Mark Kelly is up in a Democratic midterm and doesn't feel the need to be obnoxious about the minimum wage or something whereas Sinema does
30,1365450213981364237,2021-02-26 23:54:34,@Inghabo @dwmontroy @Derrick_James @Public_Citizen Yep—but also Manchin and Sinema
31,1365450207803006977,2021-02-26 23:54:33,@Molly1Jo @fran_chambers @Alex_Roarty @POTUS .…with Manchin needing to vote yes on the relief act Sinema would follow suit. They either do it now or it doesn’t get done. Until the Democrats gain a larger advantage in the Senate with a fighter for the underprivileged as leader and a President Harris.
32,1365450167625928707,2021-02-26 23:54:23,"Bernie: if they say they’ll pass it later, they’re LYING

NONONONONO. don’t fall for it. 

Let Sinema and Manchin kill it if they dare."
33,1365450117512224769,2021-02-26 23:54:11,"@stephen46785 @blackmamba_md @WalkerBragman It's unlikely that he runs again. Rumor is that he had to be cajoled into running in 2018 and very much wants to retire. Sinema's bluff could be called because she wants to stick around. It's not inconceivable that Manchin hand could be forced, but it's less likely."
34,1365450096859435012,2021-02-26 23:54:06,"@BMeiselas It seems to me that Manchin and Sinema have decided that the democrats will not be getting anything done again. They won't vote for min wage increase, they won't end the filibuster. I guess is 4 more years of gridlock. Good way to make people not bother to vote next time."
35,1365450055323324419,2021-02-26 23:53:56,I love how dull and harmless Sinema's Twitter account is. The anti-Trump. https://t.co/JCwwLpGXQv
36,1365450043835232266,2021-02-26 23:53:53,Joe Manchin and Kyrsten Sinema are really going to be running scared from Pramila Jayapal and AOC. H/t @thefactualprep. https://t.co/v9a41e7Y36
37,1365449913874616324,2021-02-26 23:53:22,@Dixonthewall We care about getting stuff done. Not procedures. But Sinema does not seem to care to change her mind. https://t.co/Ns2EZEmJbR
38,1365449900754755588,2021-02-26 23:53:19,@cenkuygur @BernieSanders It won't pass. What don't you get?  Manchin and Sinema won't vote for it. Why are you so obtuse?
39,1365449889296117760,2021-02-26 23:53:17,"okay, what are the likely Sinema primary candidates?"
40,1365449796224311296,2021-02-26 23:52:54,"@SenatorSinema Senator Sinema  - We elected you, and the people of Arizona want you to vote to get rid of the unconstitutional filibuster. It's essential to passing badly needed people-focused policy for the country. I'm asking you to do the right thing."
41,1365449734555643915,2021-02-26 23:52:40,@magizoologist7 Sinema ney yeniyor mu
42,1365449703542976514,2021-02-26 23:52:32,"@NotTheOne727 @TBiggsTequila the problem is we all knew manchin &amp; sinema would be a problem on some things with a 50-50 split. We need to work around them and get what we can or convince them. Plus, in WV, we can't do better than Manchin. I don't know about in AZ. But in WV, it's Manchin or a trump type."
43,1365449678016364547,2021-02-26 23:52:26,"@TheRockettMann That is bad politics I agree.

But if they did overrule then they would lose the bluedogs. Personally I would take that route and put Sinema&amp;Manchin under heat. 

But the end result would be the same the way I see it"
44,1365449624383799300,2021-02-26 23:52:13,"@AnaKasparian @bamableu Not quite. The VP needs 50 votes to overrule the Parliamentarian. She does not have the 50 votes. 

Any attempt, w/o complete support, is political theatre that will lead to an embarrassing defeat.

This is on Manchin and Sinema - not Biden or Harris."
45,1365449543886790659,2021-02-26 23:51:54,"@clare_stagg @Shelbypnw7 Manchin is a Democrat in a R run state. Sinema, I’m not sure. It’s like Manchin won’t support Tanden because she went after his daughter for a 400% increase in Epi-pen. He won’t even confirm a Biden nominee? It’s a maddening time right now. Do we only get a year to fix this mess?"
46,1365449492351176705,2021-02-26 23:51:42,one possible explanation is that manchin and sinema just like to be pains in the ass
47,1365449371580514308,2021-02-26 23:51:13,"Sinema bothers me a lot more than Manchin because I kinda believe the idea that what Manchin does might help him in West Virginia, but with Sinema, she's a senator in a state zooming left and we have another Democratic senator to compare her to who doesn't do this stuff"
48,1365449287056977923,2021-02-26 23:50:53,"Do Manchin &amp; Sinema voters realllly care or know what Filibuster does? Is that their campaign pledge? People know if they get #CovidRelief, healthcare, infrastructure. ""Filibuster"" doesn't go on yr 'kitchen table'-it  BLOCKS things! Senate already out-of-wack by % of pop #TheBeat https://t.co/JaFLHgStFx"
49,1365449271999410177,2021-02-26 23:50:49,@zei_squirrel I had thought initially that they might have done a deal with Manchin and Sinema to get them on board in exchange for pork and a procedural protest vote on overruling the parliamentarian. Weird they didn’t since Manchin’s minwage proposal is Bernie’s first 2 year schedule.
50,1365449157041872900,2021-02-26 23:50:22,"@Sooriclover @Catsinspace1991 @UnitedAsOne2020 @ericisaac You're naive if you think Manchin and Sinema will commit political suicide by killing the entire stimulus bill over a universally-popular minimum wage increase.

Wtf is wrong with you people?"
51,1365449052066824192,2021-02-26 23:49:57,"@bamableu @concerned12020 Basically: we need a bigger majority in 2022. We have opportunities in Wisconsin, PA, &amp; FL, etc. We need to hold all &amp; win 2 more, then Manchin &amp; Sinema are irrelevant. We all knew they could be problem on some bills. This isn't a surprise. The Dems are trying. #VoteBlue2022"
52,1365448930821959681,2021-02-26 23:49:28,"@SenatorSinema @SenMarkKelly Costco is doing right, Sinema is not"
53,1365448839507894273,2021-02-26 23:49:06,Gece gece Türk Sinema Tarihine şu ekip bir daha gelmeyecek diye üzülüyorum. https://t.co/rQSz5HuBu3
54,1365448832302071808,2021-02-26 23:49:05,"@cooldudettv @thinkspin @SocialistBoomer Uh, dems aren’t conservative anymore besides Manchin and Sinema. Dems support an LGBT+ equality bill. Sounds pretty left wing if you ask me."
